Season,Name,Basin,BasinName,OceanCode,Ocean,StormType,MaxWindMPH,MaxWindKM,MinPressure,StartDate,EndDate,StormLength,Lat,Lon
2017,ALFRED,SI,South Indian,I,Indian,,50,80,994,16FEB2017,22FEB2017,6,,
2017,BART,SP,South Pacific,P,Pacific,,45,72,994,19FEB2017,22FEB2017,3,,
2017,BLANCHE,SI,South Indian,I,Indian,,65,105,984,02MAR2017,07MAR2017,5,,
2017,CALEB,SI,South Indian,I,Indian,,50,80,989,23MAR2017,27MAR2017,4,,
2017,DEBBIE,SP,South Pacific,P,Pacific,,120,193,943,23MAR2017,30MAR2017,7,,
2017,ERNIE,SI,South Indian,I,Indian,,140,225,922,05APR2017,10APR2017,5,,
2017,COOK,SP,South Pacific,P,Pacific,,100,161,961,06APR2017,11APR2017,5,,
2017,MAARUTHA,NI,North Indian,I,Indian,,45,72,996,15APR2017,17APR2017,2,,
2017,ARLENE,NA,North Atlantic,A,Atlantic,,50,80,990,19APR2017,21APR2017,2,,
2017,FRANCES,SI,South Indian,I,Indian,,75,121,981,21APR2017,01MAY2017,10,,
2017,GREG,SI,South Indian,I,Indian,,40,64,997,29APR2017,03MAY2017,4,,
2017,DONNA,SP,South Pacific,P,Pacific,,125,201,935,01MAY2017,10MAY2017,9,,
2017,ELLA,SP,South Pacific,P,Pacific,,70,113,977,07MAY2017,15MAY2017,8,,
2017,ADRIAN,EP,East Pacific,P,Pacific,,45,72,1004,09MAY2017,10MAY2017,1,,
2017,MORA,NI,North Indian,I,Indian,,70,113,978,28MAY2017,31MAY2017,3,,
2017,BEATRIZ,EP,East Pacific,P,Pacific,,45,72,1001,31MAY2017,02JUN2017,2,,
2017,KATIA,NA,North Atlantic,A,Atlantic,,105,169,972,05JUN2017,09SEP2017,96,,
2017,CALVIN,EP,East Pacific,P,Pacific,,45,72,1004,11JUN2017,13JUN2017,2,,
2017,BRET,NA,North Atlantic,A,Atlantic,,45,72,1007,19JUN2017,20JUN2017,1,,
2017,CINDY,NA,North Atlantic,A,Atlantic,,60,97,992,20JUN2017,23JUN2017,3,,
2017,DORA,EP,East Pacific,P,Pacific,,105,169,974,25JUN2017,28JUN2017,3,,
2017,EUGENE,EP,East Pacific,P,Pacific,,115,185,966,07JUL2017,12JUL2017,5,,
2017,FERNANDA,EP,East Pacific,P,Pacific,,145,233,947,12JUL2017,22JUL2017,10,,
2017,GREG,EP,East Pacific,P,Pacific,,60,97,1001,17JUL2017,26JUL2017,9,,
2017,EIGHT-E,EP,East Pacific,P,Pacific,,35,56,1007,18JUL2017,20JUL2017,2,,
2017,HILARY,EP,East Pacific,P,Pacific,,105,169,972,21JUL2017,31JUL2017,10,,
2017,IRWIN,EP,East Pacific,P,Pacific,,90,145,980,22JUL2017,01AUG2017,10,,
2017,DON,NA,North Atlantic,A,Atlantic,,50,80,1007,17JUL2017,18JUL2017,1,,
2017,EMILY,NA,North Atlantic,A,Atlantic,,45,72,1005,31JUL2017,02AUG2017,2,,
2017,ELEVEN-E,EP,East Pacific,P,Pacific,,35,56,1006,04AUG2017,05AUG2017,1,,
2017,FRANKLIN,NA,North Atlantic,A,Atlantic,,85,137,981,07AUG2017,10AUG2017,3,,
2017,JOVA,EP,East Pacific,P,Pacific,,40,64,1003,12AUG2017,14AUG2017,2,,
2017,GERT,NA,North Atlantic,A,Atlantic,,105,169,967,13AUG2017,17AUG2017,4,,
2017,HARVEY,NA,North Atlantic,A,Atlantic,,130,209,938,17AUG2017,01SEP2017,15,,
2017,KENNETH,EP,East Pacific,P,Pacific,,130,209,952,18AUG2017,23AUG2017,5,,
2017,IRMA,NA,North Atlantic,A,Atlantic,,185,298,914,30AUG2017,12SEP2017,13,,
2017,LIDIA,EP,East Pacific,P,Pacific,,65,105,986,31AUG2017,03SEP2017,3,,
2017,JOSE,NA,North Atlantic,A,Atlantic,,155,249,938,05SEP2017,22SEP2017,17,,
2017,OTIS,EP,East Pacific,P,Pacific,,115,185,965,11SEP2017,19SEP2017,8,,
2017,MAX,EP,East Pacific,P,Pacific,,85,137,985,13SEP2017,15SEP2017,2,,
2017,NORMA,EP,East Pacific,P,Pacific,,75,121,985,14SEP2017,20SEP2017,6,,
2017,LEE,NA,North Atlantic,A,Atlantic,,115,185,962,15SEP2017,30SEP2017,15,,
2017,MARIA,NA,North Atlantic,A,Atlantic,,175,282,908,16SEP2017,30SEP2017,14,,
2017,PILAR,EP,East Pacific,P,Pacific,,45,72,1002,23SEP2017,25SEP2017,2,,
2017,RAMON,EP,East Pacific,P,Pacific,,45,72,1002,03OCT2017,04OCT2017,1,,
2017,NATE,NA,North Atlantic,A,Atlantic,,90,145,981,04OCT2017,09OCT2017,5,,
2017,OPHELIA,NA,North Atlantic,A,Atlantic,,115,185,960,09OCT2017,16OCT2017,7,,
2017,SELMA,EP,East Pacific,P,Pacific,,40,64,1005,27OCT2017,28OCT2017,1,,
2017,PHILIPPE,NA,North Atlantic,A,Atlantic,,60,97,997,28OCT2017,29OCT2017,1,,
2017,RINA,NA,North Atlantic,A,Atlantic,,60,97,995,06NOV2017,09NOV2017,3,,
2017,CEMPAKA,SI,South Indian,I,Indian,,40,64,998,22NOV2017,01DEC2017,9,,
2017,DAHLIA,SI,South Indian,I,Indian,,60,97,985,24NOV2017,05DEC2017,11,,
2017,OCKHI,NI,North Indian,I,Indian,,100,161,976,29NOV2017,06DEC2017,7,,
2017,HILDA,SI,South Indian,I,Indian,,60,97,980,24DEC2017,30DEC2017,6,,
2016,ANNABELLE,SI,South Indian,I,Indian,Tropical,63,101,983,18NOV2015,27NOV2015,9,-15,75
2016,TUNI,SP,South Pacific,P,Pacific,Not Reported,46,74,,26NOV2015,30NOV2015,4,-14.6,-173.7
2016,BOHALE,SI,South Indian,I,Indian,Tropical,40,64,995,07DEC2015,16DEC2015,9,-18.1,68.2
2016,NONAME,SI,South Indian,I,Indian,Not Reported,35,56,994,21DEC2015,01JAN2016,11,-12.5,131.4
2016,ULA,SP,South Pacific,P,Pacific,Not Reported,115,185,,29DEC2015,16JAN2016,18,-19.7,171.5
2016,PALI,EP,East Pacific,P,Pacific,Not Reported,98,158,977,05JAN2016,15JAN2016,10,6.5,-171.2
